Mine ID,Operator,Mine Name,Type,Status,State,County,Primary Canvass Code,Commodity
0100857,Star Contracting & Mining Company,Mine No 2 Strip,Surface,Abandoned,Kentucky,Jefferson,Coal (Bituminous and Lignite),Coal (Bituminous)
1201261,Steftenagel Coal Company,Steftenagel Strip,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1202356,KENTUCKY FUEL CORPORATION,ADDCAR #1,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1202361,Augustus Augering & Contracting Inc.,Auger #26 ,Surface,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1500000,Kentucky Coal Company,Pike Mine,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1500234,Clear Creek Collieries Inc,No 3 Mine,Underground,Abandoned,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1500237,L & J Coal Company Inc,No 3,Underground,AbandonedSealed,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1500257,L P Coal Company Inc,#5 Mine,Underground,Abandoned,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1500320,G & H Coal Co,No 1 Mine,Underground,Abandoned,Kentucky,Clay,Coal (Bituminous and Lignite),Coal (Bituminous)
1500326,Garry Coal Company Inc,No 1 Mine,Underground,Abandoned,Kentucky,Clay,Coal (Bituminous and Lignite),Coal (Bituminous)
1500331,Hillmar Coal Company,No 1 Mine,Underground,Abandoned,Kentucky,Clay,Coal (Bituminous and Lignite),Coal (Bituminous)
1500365,"Bowie Refined Coal, LLC",Estill Co.,Facility,Abandoned,Kentucky,Estill,Coal (Bituminous and Lignite),Coal (Bituminous)
1500388,Hite Preparation Company,Bx-51 Mine,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500389,Carry Back Coal Company,Fx-50 Mine,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500390,Carry Back Coal Company,No Bx 50 Mine,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500391,Carry Back Coal Company,Mine F-21,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500393,Mary Jean Coal Company,No 2 Mine,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500394,Columbia Coal Company,No C 66 Mine,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500402,J R M Coal Company Inc,Mine No C-23,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500415,Export Coal Mining Inc,No Te 72 Mine,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500421,Export Coal Mining Inc,No L-100-10 Mine,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500422,Export Coal Mining Inc,No W 58 Mine,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1500427,Export Coal Mining Inc,No L 50 2 Mine,Underground,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
